"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","91","Validate GET users API","Firefox","2026-07-11","passed","2026-07-11","API Tests - ReqRes","api.spec.ts","",""
"","1066","has title","Chromium","2026-07-11","passed","2026-07-11","","example.spec.ts","",""
"","1200","get started link","Chromium","2026-07-11","passed","2026-07-11","","example.spec.ts","",""
"","957","User can login successfully","Firefox","2026-07-11","passed","2026-07-11","Login Feature","login.spec.ts","",""
"","2438","has title","Firefox","2026-07-11","passed","2026-07-11","","example.spec.ts","",""
"","111","Validate GET users API","WebKit","2026-07-11","passed","2026-07-11","API Tests - ReqRes","api.spec.ts","",""
"","2931","get started link","Firefox","2026-07-11","passed","2026-07-11","","example.spec.ts","",""
"","1713","User can login successfully","WebKit","2026-07-11","passed","2026-07-11","Login Feature","login.spec.ts","",""
"","8770","get started link","WebKit","2026-07-11","passed","2026-07-11","","example.spec.ts","",""
"","7692","has title","WebKit","2026-07-11","passed","2026-07-11","","example.spec.ts","",""
"","287","Validate GET users API","Chromium","2026-07-11","passed","2026-07-11","API Tests - ReqRes","api.spec.ts","",""
"","691","User can login successfully","Chromium","2026-07-11","passed","2026-07-11","Login Feature","login.spec.ts","",""
