"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","121","Validate GET users API","WebKit","2026-09-04","passed","2026-09-04","API Tests - ReqRes","api.spec.ts","",""
"","6345","get started link","WebKit","2026-09-04","passed","2026-09-04","","example.spec.ts","",""
"","3007","User can login successfully","Chromium","2026-09-04","passed","2026-09-04","Login Feature","login.spec.ts","",""
"","2216","get started link","Firefox","2026-09-04","passed","2026-09-04","","example.spec.ts","",""
"","1636","User can login successfully","WebKit","2026-09-04","passed","2026-09-04","Login Feature","login.spec.ts","",""
"","1875","has title","Firefox","2026-09-04","passed","2026-09-04","","example.spec.ts","",""
"","1121","get started link","Chromium","2026-09-04","passed","2026-09-04","","example.spec.ts","",""
"","84","Validate GET users API","Firefox","2026-09-04","passed","2026-09-04","API Tests - ReqRes","api.spec.ts","",""
"","6914","has title","WebKit","2026-09-04","passed","2026-09-04","","example.spec.ts","",""
"","164","Validate GET users API","Chromium","2026-09-04","passed","2026-09-04","API Tests - ReqRes","api.spec.ts","",""
"","995","has title","Chromium","2026-09-04","passed","2026-09-04","","example.spec.ts","",""
"","1048","User can login successfully","Firefox","2026-09-04","passed","2026-09-04","Login Feature","login.spec.ts","",""
