"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","84","Validate GET users API","Firefox","2026-08-09","passed","2026-08-09","API Tests - ReqRes","api.spec.ts","",""
"","741","User can login successfully","Chromium","2026-08-09","passed","2026-08-09","Login Feature","login.spec.ts","",""
"","1108","get started link","Chromium","2026-08-09","passed","2026-08-09","","example.spec.ts","",""
"","8903","get started link","WebKit","2026-08-09","passed","2026-08-09","","example.spec.ts","",""
"","7469","has title","WebKit","2026-08-09","passed","2026-08-09","","example.spec.ts","",""
"","1736","User can login successfully","WebKit","2026-08-09","passed","2026-08-09","Login Feature","login.spec.ts","",""
"","324","Validate GET users API","Chromium","2026-08-09","passed","2026-08-09","API Tests - ReqRes","api.spec.ts","",""
"","926","User can login successfully","Firefox","2026-08-09","passed","2026-08-09","Login Feature","login.spec.ts","",""
"","2373","has title","Firefox","2026-08-09","passed","2026-08-09","","example.spec.ts","",""
"","86","Validate GET users API","WebKit","2026-08-09","passed","2026-08-09","API Tests - ReqRes","api.spec.ts","",""
"","2845","get started link","Firefox","2026-08-09","passed","2026-08-09","","example.spec.ts","",""
"","975","has title","Chromium","2026-08-09","passed","2026-08-09","","example.spec.ts","",""
