"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","285","Validate GET users API","Chromium","2026-08-28","passed","2026-08-28","API Tests - ReqRes","api.spec.ts","",""
"","91","Validate GET users API","WebKit","2026-08-28","passed","2026-08-28","API Tests - ReqRes","api.spec.ts","",""
"","2899","get started link","Firefox","2026-08-28","passed","2026-08-28","","example.spec.ts","",""
"","700","User can login successfully","Chromium","2026-08-28","passed","2026-08-28","Login Feature","login.spec.ts","",""
"","7915","get started link","WebKit","2026-08-28","passed","2026-08-28","","example.spec.ts","",""
"","945","has title","Chromium","2026-08-28","passed","2026-08-28","","example.spec.ts","",""
"","94","Validate GET users API","Firefox","2026-08-28","passed","2026-08-28","API Tests - ReqRes","api.spec.ts","",""
"","1540","User can login successfully","WebKit","2026-08-28","passed","2026-08-28","Login Feature","login.spec.ts","",""
"","1147","get started link","Chromium","2026-08-28","passed","2026-08-28","","example.spec.ts","",""
"","6900","has title","WebKit","2026-08-28","passed","2026-08-28","","example.spec.ts","",""
"","962","User can login successfully","Firefox","2026-08-28","passed","2026-08-28","Login Feature","login.spec.ts","",""
"","2341","has title","Firefox","2026-08-28","passed","2026-08-28","","example.spec.ts","",""
