"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6275","get started link","WebKit","2026-03-13","passed","2026-03-13","","example.spec.ts","",""
"","1185","User can login successfully","Firefox","2026-03-13","passed","2026-03-13","Login Feature","login.spec.ts","",""
"","234","Validate GET users API","WebKit","2026-03-13","passed","2026-03-13","API Tests - ReqRes","api.spec.ts","",""
"","2440","has title","Firefox","2026-03-13","passed","2026-03-13","","example.spec.ts","",""
"","801","has title","Chromium","2026-03-13","passed","2026-03-13","","example.spec.ts","",""
"","1771","User can login successfully","WebKit","2026-03-13","passed","2026-03-13","Login Feature","login.spec.ts","",""
"","1032","get started link","Chromium","2026-03-13","passed","2026-03-13","","example.spec.ts","",""
"","5446","has title","WebKit","2026-03-13","passed","2026-03-13","","example.spec.ts","",""
"","404","Validate GET users API","Chromium","2026-03-13","passed","2026-03-13","API Tests - ReqRes","api.spec.ts","",""
"","2764","get started link","Firefox","2026-03-13","passed","2026-03-13","","example.spec.ts","",""
"","247","Validate GET users API","Firefox","2026-03-13","passed","2026-03-13","API Tests - ReqRes","api.spec.ts","",""
"","1102","User can login successfully","Chromium","2026-03-13","passed","2026-03-13","Login Feature","login.spec.ts","",""
