"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","919","User can login successfully","Firefox","2026-08-17","passed","2026-08-17","Login Feature","login.spec.ts","",""
"","1011","has title","Chromium","2026-08-17","passed","2026-08-17","","example.spec.ts","",""
"","1581","User can login successfully","WebKit","2026-08-17","passed","2026-08-17","Login Feature","login.spec.ts","",""
"","6487","has title","WebKit","2026-08-17","passed","2026-08-17","","example.spec.ts","",""
"","84","Validate GET users API","Firefox","2026-08-17","passed","2026-08-17","API Tests - ReqRes","api.spec.ts","",""
"","96","Validate GET users API","WebKit","2026-08-17","passed","2026-08-17","API Tests - ReqRes","api.spec.ts","",""
"","2216","has title","Firefox","2026-08-17","passed","2026-08-17","","example.spec.ts","",""
"","7481","get started link","WebKit","2026-08-17","passed","2026-08-17","","example.spec.ts","",""
"","203","Validate GET users API","Chromium","2026-08-17","passed","2026-08-17","API Tests - ReqRes","api.spec.ts","",""
"","763","User can login successfully","Chromium","2026-08-17","passed","2026-08-17","Login Feature","login.spec.ts","",""
"","2700","get started link","Firefox","2026-08-17","passed","2026-08-17","","example.spec.ts","",""
"","1134","get started link","Chromium","2026-08-17","passed","2026-08-17","","example.spec.ts","",""
