"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","90","Validate GET users API","WebKit","2026-08-05","passed","2026-08-05","API Tests - ReqRes","api.spec.ts","",""
"","1143","get started link","Chromium","2026-08-05","passed","2026-08-05","","example.spec.ts","",""
"","8953","get started link","WebKit","2026-08-05","passed","2026-08-05","","example.spec.ts","",""
"","2823","get started link","Firefox","2026-08-05","passed","2026-08-05","","example.spec.ts","",""
"","1679","User can login successfully","WebKit","2026-08-05","passed","2026-08-05","Login Feature","login.spec.ts","",""
"","957","has title","Chromium","2026-08-05","passed","2026-08-05","","example.spec.ts","",""
"","761","User can login successfully","Chromium","2026-08-05","passed","2026-08-05","Login Feature","login.spec.ts","",""
"","2377","has title","Firefox","2026-08-05","passed","2026-08-05","","example.spec.ts","",""
"","979","User can login successfully","Firefox","2026-08-05","passed","2026-08-05","Login Feature","login.spec.ts","",""
"","90","Validate GET users API","Firefox","2026-08-05","passed","2026-08-05","API Tests - ReqRes","api.spec.ts","",""
"","7772","has title","WebKit","2026-08-05","passed","2026-08-05","","example.spec.ts","",""
"","295","Validate GET users API","Chromium","2026-08-05","passed","2026-08-05","API Tests - ReqRes","api.spec.ts","",""
