"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1074","User can login successfully","Firefox","2026-08-24","passed","2026-08-24","Login Feature","login.spec.ts","",""
"","1711","User can login successfully","WebKit","2026-08-24","passed","2026-08-24","Login Feature","login.spec.ts","",""
"","10330","has title","WebKit","2026-08-24","passed","2026-08-24","","example.spec.ts","",""
"","145","Validate GET users API","WebKit","2026-08-24","passed","2026-08-24","API Tests - ReqRes","api.spec.ts","",""
"","1045","has title","Chromium","2026-08-24","passed","2026-08-24","","example.spec.ts","",""
"","769","User can login successfully","Chromium","2026-08-24","passed","2026-08-24","Login Feature","login.spec.ts","",""
"","2761","get started link","Firefox","2026-08-24","passed","2026-08-24","","example.spec.ts","",""
"","11795","get started link","WebKit","2026-08-24","passed","2026-08-24","","example.spec.ts","",""
"","2226","has title","Firefox","2026-08-24","passed","2026-08-24","","example.spec.ts","",""
"","402","Validate GET users API","Chromium","2026-08-24","passed","2026-08-24","API Tests - ReqRes","api.spec.ts","",""
"","120","Validate GET users API","Firefox","2026-08-24","passed","2026-08-24","API Tests - ReqRes","api.spec.ts","",""
"","1152","get started link","Chromium","2026-08-24","passed","2026-08-24","","example.spec.ts","",""
