"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1016","has title","Chromium","2026-09-19","passed","2026-09-19","","example.spec.ts","",""
"","3035","get started link","Firefox","2026-09-19","passed","2026-09-19","","example.spec.ts","",""
"","2466","has title","Firefox","2026-09-19","passed","2026-09-19","","example.spec.ts","",""
"","7381","get started link","WebKit","2026-09-19","passed","2026-09-19","","example.spec.ts","",""
"","87","Validate GET users API","WebKit","2026-09-19","passed","2026-09-19","API Tests - ReqRes","api.spec.ts","",""
"","6289","has title","WebKit","2026-09-19","passed","2026-09-19","","example.spec.ts","",""
"","86","Validate GET users API","Firefox","2026-09-19","passed","2026-09-19","API Tests - ReqRes","api.spec.ts","",""
"","1974","User can login successfully","WebKit","2026-09-19","passed","2026-09-19","Login Feature","login.spec.ts","",""
"","703","User can login successfully","Chromium","2026-09-19","passed","2026-09-19","Login Feature","login.spec.ts","",""
"","1037","User can login successfully","Firefox","2026-09-19","passed","2026-09-19","Login Feature","login.spec.ts","",""
"","455","Validate GET users API","Chromium","2026-09-19","passed","2026-09-19","API Tests - ReqRes","api.spec.ts","",""
"","1315","get started link","Chromium","2026-09-19","passed","2026-09-19","","example.spec.ts","",""
