"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2304","has title","Firefox","2026-09-13","passed","2026-09-13","","example.spec.ts","",""
"","7944","get started link","WebKit","2026-09-13","passed","2026-09-13","","example.spec.ts","",""
"","1721","User can login successfully","WebKit","2026-09-13","passed","2026-09-13","Login Feature","login.spec.ts","",""
"","2706","get started link","Firefox","2026-09-13","passed","2026-09-13","","example.spec.ts","",""
"","1019","get started link","Chromium","2026-09-13","passed","2026-09-13","","example.spec.ts","",""
"","6983","has title","WebKit","2026-09-13","passed","2026-09-13","","example.spec.ts","",""
"","811","User can login successfully","Chromium","2026-09-13","passed","2026-09-13","Login Feature","login.spec.ts","",""
"","117","Validate GET users API","Firefox","2026-09-13","passed","2026-09-13","API Tests - ReqRes","api.spec.ts","",""
"","965","User can login successfully","Firefox","2026-09-13","passed","2026-09-13","Login Feature","login.spec.ts","",""
"","89","Validate GET users API","WebKit","2026-09-13","passed","2026-09-13","API Tests - ReqRes","api.spec.ts","",""
"","940","has title","Chromium","2026-09-13","passed","2026-09-13","","example.spec.ts","",""
"","317","Validate GET users API","Chromium","2026-09-13","passed","2026-09-13","API Tests - ReqRes","api.spec.ts","",""
