"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","980","User can login successfully","Firefox","2026-08-25","passed","2026-08-25","Login Feature","login.spec.ts","",""
"","369","Validate GET users API","Chromium","2026-08-25","passed","2026-08-25","API Tests - ReqRes","api.spec.ts","",""
"","128","Validate GET users API","WebKit","2026-08-25","passed","2026-08-25","API Tests - ReqRes","api.spec.ts","",""
"","1809","User can login successfully","WebKit","2026-08-25","passed","2026-08-25","Login Feature","login.spec.ts","",""
"","2934","get started link","Firefox","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","1018","has title","Chromium","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","2483","has title","Firefox","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","8373","has title","WebKit","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","130","Validate GET users API","Firefox","2026-08-25","passed","2026-08-25","API Tests - ReqRes","api.spec.ts","",""
"","1093","get started link","Chromium","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
"","1129","User can login successfully","Chromium","2026-08-25","passed","2026-08-25","Login Feature","login.spec.ts","",""
"","9437","get started link","WebKit","2026-08-25","passed","2026-08-25","","example.spec.ts","",""
