"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2337","has title","Firefox","2026-07-30","passed","2026-07-30","","example.spec.ts","",""
"","332","Validate GET users API","Chromium","2026-07-30","passed","2026-07-30","API Tests - ReqRes","api.spec.ts","",""
"","7047","get started link","WebKit","2026-07-30","passed","2026-07-30","","example.spec.ts","",""
"","2797","get started link","Firefox","2026-07-30","passed","2026-07-30","","example.spec.ts","",""
"","943","User can login successfully","Firefox","2026-07-30","passed","2026-07-30","Login Feature","login.spec.ts","",""
"","88","Validate GET users API","WebKit","2026-07-30","passed","2026-07-30","API Tests - ReqRes","api.spec.ts","",""
"","5534","has title","WebKit","2026-07-30","passed","2026-07-30","","example.spec.ts","",""
"","1043","has title","Chromium","2026-07-30","passed","2026-07-30","","example.spec.ts","",""
"","1865","User can login successfully","WebKit","2026-07-30","passed","2026-07-30","Login Feature","login.spec.ts","",""
"","677","User can login successfully","Chromium","2026-07-30","passed","2026-07-30","Login Feature","login.spec.ts","",""
"","94","Validate GET users API","Firefox","2026-07-30","passed","2026-07-30","API Tests - ReqRes","api.spec.ts","",""
"","1126","get started link","Chromium","2026-07-30","passed","2026-07-30","","example.spec.ts","",""
