"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3009","get started link","Firefox","2026-07-02","passed","2026-07-02","","example.spec.ts","",""
"","104","Validate GET users API","Firefox","2026-07-02","passed","2026-07-02","API Tests - ReqRes","api.spec.ts","",""
"","1025","has title","Chromium","2026-07-02","passed","2026-07-02","","example.spec.ts","",""
"","1992","User can login successfully","WebKit","2026-07-02","passed","2026-07-02","Login Feature","login.spec.ts","",""
"","1087","User can login successfully","Firefox","2026-07-02","passed","2026-07-02","Login Feature","login.spec.ts","",""
"","783","User can login successfully","Chromium","2026-07-02","passed","2026-07-02","Login Feature","login.spec.ts","",""
"","298","Validate GET users API","Chromium","2026-07-02","passed","2026-07-02","API Tests - ReqRes","api.spec.ts","",""
"","8479","get started link","WebKit","2026-07-02","passed","2026-07-02","","example.spec.ts","",""
"","7126","has title","WebKit","2026-07-02","passed","2026-07-02","","example.spec.ts","",""
"","87","Validate GET users API","WebKit","2026-07-02","passed","2026-07-02","API Tests - ReqRes","api.spec.ts","",""
"","2347","has title","Firefox","2026-07-02","passed","2026-07-02","","example.spec.ts","",""
"","1099","get started link","Chromium","2026-07-02","passed","2026-07-02","","example.spec.ts","",""
