"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2440","has title","Firefox","2026-07-19","passed","2026-07-19","","example.spec.ts","",""
"","1874","User can login successfully","WebKit","2026-07-19","passed","2026-07-19","Login Feature","login.spec.ts","",""
"","268","Validate GET users API","Chromium","2026-07-19","passed","2026-07-19","API Tests - ReqRes","api.spec.ts","",""
"","83","Validate GET users API","Firefox","2026-07-19","passed","2026-07-19","API Tests - ReqRes","api.spec.ts","",""
"","2810","get started link","Firefox","2026-07-19","passed","2026-07-19","","example.spec.ts","",""
"","1562","has title","Chromium","2026-07-19","passed","2026-07-19","","example.spec.ts","",""
"","1706","get started link","Chromium","2026-07-19","passed","2026-07-19","","example.spec.ts","",""
"","5952","has title","WebKit","2026-07-19","passed","2026-07-19","","example.spec.ts","",""
"","759","User can login successfully","Chromium","2026-07-19","passed","2026-07-19","Login Feature","login.spec.ts","",""
"","7462","get started link","WebKit","2026-07-19","passed","2026-07-19","","example.spec.ts","",""
"","93","Validate GET users API","WebKit","2026-07-19","passed","2026-07-19","API Tests - ReqRes","api.spec.ts","",""
"","913","User can login successfully","Firefox","2026-07-19","passed","2026-07-19","Login Feature","login.spec.ts","",""
