"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2551","get started link","Firefox","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","6480","has title","WebKit","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","2092","User can login successfully","WebKit","2026-09-21","passed","2026-09-21","Login Feature","login.spec.ts","",""
"","852","User can login successfully","Firefox","2026-09-21","passed","2026-09-21","Login Feature","login.spec.ts","",""
"","1104","get started link","Chromium","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","741","User can login successfully","Chromium","2026-09-21","passed","2026-09-21","Login Feature","login.spec.ts","",""
"","803","has title","Chromium","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","406","Validate GET users API","Chromium","2026-09-21","passed","2026-09-21","API Tests - ReqRes","api.spec.ts","",""
"","85","Validate GET users API","Firefox","2026-09-21","passed","2026-09-21","API Tests - ReqRes","api.spec.ts","",""
"","8890","get started link","WebKit","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","2011","has title","Firefox","2026-09-21","passed","2026-09-21","","example.spec.ts","",""
"","77","Validate GET users API","WebKit","2026-09-21","passed","2026-09-21","API Tests - ReqRes","api.spec.ts","",""
